month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,cpi_all_items,sora
2010-01-01,1,Category A,1152,1145,1342,18502,85.709,0.1309
2010-01-01,1,Category B,687,679,883,19190,85.709,0.1309
2010-01-01,1,Category C,173,173,265,19001,85.709,0.1309
2010-01-01,1,Category D,373,365,509,889,85.709,0.1309
2010-01-01,1,Category E,586,567,1011,19889,85.709,0.1309
2010-01-01,2,Category A,1151,1149,1673,20501,85.709,0.1309
2010-01-01,2,Category B,717,717,1105,22400,85.709,0.1309
2010-01-01,2,Category C,181,173,280,20090,85.709,0.1309
2010-01-01,2,Category D,378,378,551,852,85.709,0.1309
2010-01-01,2,Category E,588,579,1322,21899,85.709,0.1309
2010-02-01,1,Category A,1154,1153,1326,19989,85.863,0.2924
2010-02-01,1,Category B,693,690,930,23180,85.863,0.2924
2010-02-01,1,Category C,165,162,250,21390,85.863,0.2924
2010-02-01,1,Category D,371,349,525,852,85.863,0.2924
2010-02-01,1,Category E,601,596,1069,22401,85.863,0.2924
2010-02-01,2,Category A,1148,1148,1493,20340,85.863,0.2924
2010-02-01,2,Category B,685,658,956,23889,85.863,0.2924
2010-02-01,2,Category C,173,170,285,23501,85.863,0.2924
2010-02-01,2,Category D,363,355,472,1001,85.863,0.2924
2010-02-01,2,Category E,590,587,1255,24229,85.863,0.2924
2010-03-01,1,Category A,1148,1141,1758,20802,86.131,0.1856
2010-03-01,1,Category B,688,667,1087,26389,86.131,0.1856
2010-03-01,1,Category C,168,164,257,27001,86.131,0.1856
2010-03-01,1,Category D,385,383,467,1159,86.131,0.1856
2010-03-01,1,Category E,587,575,1184,27590,86.131,0.1856
2010-03-01,2,Category A,1146,1137,2183,28389,86.131,0.1856
2010-03-01,2,Category B,711,699,1207,36089,86.131,0.1856
2010-03-01,2,Category C,168,141,341,32890,86.131,0.1856
2010-03-01,2,Category D,371,368,495,1200,86.131,0.1856
2010-03-01,2,Category E,584,554,1507,42001,86.131,0.1856
2010-04-01,1,Category A,705,597,1379,34001,86.821,0.0673
2010-04-01,1,Category B,571,571,858,45501,86.821,0.0673
2010-04-01,1,Category C,180,167,329,36511,86.821,0.0673
2010-04-01,1,Category D,338,334,409,1221,86.821,0.0673
2010-04-01,1,Category E,372,328,856,49000,86.821,0.0673
2010-04-01,2,Category A,706,704,1242,30000,86.821,0.0673
2010-04-01,2,Category B,561,549,896,40001,86.821,0.0673
2010-04-01,2,Category C,203,203,298,35556,86.821,0.0673
2010-04-01,2,Category D,339,311,383,1253,86.821,0.0673
2010-04-01,2,Category E,390,383,709,43003,86.821,0.0673
2010-05-01,1,Category A,806,798,1294,26102,87.322,0.0906
2010-05-01,1,Category B,550,547,869,38000,87.322,0.0906
2010-05-01,1,Category C,189,187,329,32501,87.322,0.0906
2010-05-01,1,Category D,340,317,415,1252,87.322,0.0906
2010-05-01,1,Category E,404,403,857,39002,87.322,0.0906
2010-05-01,2,Category A,699,697,1036,27389,87.322,0.0906
2010-05-01,2,Category B,561,553,715,34600,87.322,0.0906
2010-05-01,2,Category C,176,170,296,29389,87.322,0.0906
2010-05-01,2,Category D,364,360,468,1312,87.322,0.0906
2010-05-01,2,Category E,367,365,608,39000,87.322,0.0906
2010-06-01,1,Category A,706,704,1107,30051,86.903,0.092
2010-06-01,1,Category B,553,546,779,40002,86.903,0.092
2010-06-01,1,Category C,178,177,273,30189,86.903,0.092
2010-06-01,1,Category D,359,344,504,1452,86.903,0.092
2010-06-01,1,Category E,361,322,639,41000,86.903,0.092
2010-06-01,2,Category A,699,697,902,31510,86.903,0.092
2010-06-01,2,Category B,557,554,720,39911,86.903,0.092
2010-06-01,2,Category C,182,175,253,31689,86.903,0.092
2010-06-01,2,Category D,340,339,376,1454,86.903,0.092
2010-06-01,2,Category E,362,359,682,41006,86.903,0.092
2010-07-01,1,Category A,700,676,893,29501,87.595,0.1828
2010-07-01,1,Category B,557,557,671,35909,87.595,0.1828
2010-07-01,1,Category C,177,176,277,31389,87.595,0.1828
2010-07-01,1,Category D,351,347,476,1320,87.595,0.1828
2010-07-01,1,Category E,399,399,660,41010,87.595,0.1828
2010-07-01,2,Category A,699,691,967,36162,87.595,0.1828
2010-07-01,2,Category B,552,548,890,42889,87.595,0.1828
2010-07-01,2,Category C,183,182,285,30601,87.595,0.1828
2010-07-01,2,Category D,337,334,372,1290,87.595,0.1828
2010-07-01,2,Category E,363,357,725,43565,87.595,0.1828
2010-08-01,1,Category A,622,589,786,32104,88,0.1459
2010-08-01,1,Category B,479,479,662,43334,88,0.1459
2010-08-01,1,Category C,205,205,284,30112,88,0.1459
